rank,movie_title,rating,year,star_cast,Director
232,The Grapes of Wrath,8.022612111088199,1940,"John Ford (dir.), Henry Fonda, Jane Darwell",John Ford
233,Rebecca,8.021845316134355,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",Alfred Hitchcock
234,Hachi: A Dog's Tale,8.021757299785348,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",Lasse Hallström
235,Pirates of the Caribbean: The Curse of the Black Pearl,8.021166605079753,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",Gore Verbinski
236,Cool Hand Luke,8.02102430282496,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",Stuart Rosenberg
237,Amores perros,8.020885690759505,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",Alejandro G.
238,La haine,8.019146498471654,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",Mathieu Kassovitz
239,Babam ve Oglum,8.0177382078216,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",Cagan Irmak
240,Les quatre cents coups,8.01572666516913,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",François Truffaut
241,Persona,8.015034006909662,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",Ingmar Bergman
242,It Happened One Night,8.01420474006274,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",Frank Capra
243,The Sound of Music,8.012671301952736,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",Robert Wise
244,Life of Brian,8.012538227517,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",Terry Jones
245,Ah-ga-ssi,8.012364331741141,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",Park Chan-wook
246,Dersu Uzala,8.00901784808466,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",Akira Kurosawa
247,Aladdin,8.005762534928365,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",Ron Clements
248,Gandhi,8.005697975881798,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",Richard Attenborough
249,The Help,8.005104525932706,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone",Tate Taylor
250,The Iron Giant,8.003110426302,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",Brad Bird
