rank,movie_title,rating,year,star_cast,Director
69,Top Gun: Maverick,8.328425028850353,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",Joseph Kosinski
70,The Dark Knight Rises,8.328089528633466,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",Christopher Nolan
71,Oldeuboi,8.320133945330488,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",Park Chan-wook
72,Joker,8.317238775915184,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",Todd Phillips
73,Amadeus,8.315764535151391,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",Milos Forman
74,Braveheart,8.314948410728386,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",Mel Gibson
75,Toy Story,8.31483891835183,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",John Lasseter
76,Coco,8.313625757814757,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",Lee Unkrich
77,Inglourious Basterds,8.31356069494624,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",Quentin Tarantino
78,Das Boot,8.312252174020204,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",Wolfgang Petersen
79,Avengers: Endgame,8.303780673097515,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",Anthony Russo
80,Mononoke-hime,8.30342740397874,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",Hayao Miyazaki
81,Once Upon a Time in America,8.297824048479674,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",Sergio Leone
82,Good Will Hunting,8.288588082626486,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",Gus Van
83,Kimi no na wa,8.278171472710403,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",Makoto Shinkai
84,Requiem for a Dream,8.275530354004117,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",Darren Aronofsky
85,Toy Story 3,8.275017992263804,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",Lee Unkrich
86,Singin' in the Rain,8.273367076674546,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",Stanley Donen
87,3 Idiots,8.272598619282626,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",Rajkumar Hirani
88,Tengoku to jigoku,8.267418066487132,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",Akira Kurosawa
89,Star Wars: Episode VI - Return of the Jedi,8.266507872631845,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",Richard Marquand
90,2001: A Space Odyssey,8.263534488433839,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",Stanley Kubrick
91,Eternal Sunshine of the Spotless Mind,8.263178044764418,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",Michel Gondry
92,Reservoir Dogs,8.262513374154487,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",Quentin Tarantino
93,Capharnaüm,8.260633979584826,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",Nadine Labaki
94,Jagten,8.255764741082004,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",Thomas Vinterberg
95,Lawrence of Arabia,8.255062745675039,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",David Lean
96,Citizen Kane,8.254843368034022,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",Orson Welles
97,M - Eine Stadt sucht einen Mörder,8.254182575821856,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",Fritz Lang
